,Name,Value (€)
0,Ederson,40000000.0
1,Stefan Ortega,9000000.0
2,Zack Steffen,3500000.0
3,Scott Carson,200000.0
4,Rúben Dias,80000000.0
5,Nathan Aké,42000000.0
6,John Stones,40000000.0
7,Manuel Akanji,38000000.0
8,Aymeric Laporte,25000000.0
9,Luke Mbete,2000000.0
10,Sergio Gómez,13000000.0
11,Josh Wilson-Esbrand,1500000.0
12,João Cancelo,50000000.0
13,Rico Lewis,20000000.0
14,Kyle Walker,13000000.0
15,Rodri,90000000.0
16,Kalvin Phillips,32000000.0
17,Máximo Perrone,10000000.0
18,Claudio Gomes,1400000.0
19,İlkay Gündoğan,20000000.0
20,Alex Robertson,50000.0
21,Phil Foden,110000000.0
22,Bernardo Silva,80000000.0
23,Kevin De Bruyne,70000000.0
24,Cole Palmer,15000000.0
25,Jack Grealish,75000000.0
26,Riyad Mahrez,20000000.0
27,Ben Knight,300000.0
28,Erling Haaland,180000000.0
29,Julián Alvarez,60000000.0
30,Liam Delap,5000000.0
31,Aaron Ramsdale,40000000.0
32,Matt Turner,8000000.0
33,Karl Hein,1500000.0
34,William Saliba,65000000.0
35,Gabriel Magalhães,55000000.0
36,Jakub Kiwior,25000000.0
37,Auston Trusty,10000000.0
38,Rob Holding,8000000.0
39,Oleksandr Zinchenko,42000000.0
40,Kieran Tierney,25000000.0
41,Lino Sousa,500000.0
42,Ben White,55000000.0
43,Takehiro Tomiyasu,25000000.0
44,Ainsley Maitland-Niles,8000000.0
45,Cédric Soares,3000000.0
46,Thomas Partey,35000000.0
47,Jorginho,25000000.0
48,Granit Xhaka,20000000.0
49,Mohamed Elneny,6000000.0
50,Bradley Ibrahim,400000.0
51,Albert Sambi Lokonga,15000000.0
52,Matt Smith,350000.0
53,Cătălin Cîrjan,250000.0
54,Martin Ødegaard,90000000.0
55,Emile Smith Rowe,35000000.0
56,Fábio Vieira,25000000.0
57,Gabriel Martinelli,80000000.0
58,Leandro Trossard,35000000.0
59,Reiss Nelson,12000000.0
60,Bukayo Saka,120000000.0
61,Nicolas Pépé,18000000.0
62,Marquinhos,65000000.0
63,Amario Cozier-Duberry,300000.0
64,Gabriel Jesus,75000000.0
65,Eddie Nketiah,25000000.0
66,Khayon Edwards,300000.0
67,Nathan Butler-Oyedeji,100000.0
68,Kepa Arrizabalaga,18000000.0
69,Edouard Mendy,12000000.0
70,Gabriel Slonina,9000000.0
71,Marcus Bettinelli,1500000.0
72,Lucas Bergström,250000.0
73,Wesley Fofana,55000000.0
74,Benoît Badiashile,40000000.0
75,Trevoh Chalobah,18000000.0
76,Kalidou Koulibaly,15000000.0
77,César Azpilicueta,5000000.0
78,Bashir Humphreys,3000000.0
79,Thiago Silva,2000000.0
80,Ben Chilwell,35000000.0
81,Marc Cucurella,35000000.0
82,Lewis Hall,10000000.0
83,Abdul Rahman Baba,1200000.0
84,Reece James,65000000.0
85,Denis Zakaria,18000000.0
86,N'Golo Kanté,15000000.0
87,Billy Gilmour,12000000.0
88,Ethan Ampadu,9000000.0
89,Enzo Fernández,80000000.0
90,Mateo Kovacic,38000000.0
91,Conor Gallagher,32000000.0
92,Ruben Loftus-Cheek,25000000.0
93,Carney Chukwuemeka,15000000.0
94,Harvey Vale,2000000.0
95,Mason Mount,60000000.0
96,Omari Hutchinson,1000000.0
97,Mykhaylo Mudryk,50000000.0
98,Callum Hudson-Odoi,15000000.0
99,Raheem Sterling,55000000.0
100,Noni Madueke,30000000.0
101,Christian Pulisic,25000000.0
102,Hakim Ziyech,16000000.0
103,João Félix,50000000.0
104,Kai Havertz,55000000.0
105,Armando Broja,28000000.0
106,David Datro Fofana,10000000.0
107,Pierre-Emerick Aubameyang,4000000.0
108,Alisson,35000000.0
109,Caoimhín Kelleher,12000000.0
110,Adrián,800000.0
111,Harvey Davies,300000.0
112,Ibrahima Konaté,38000000.0
113,Virgil van Dijk,35000000.0
114,Joe Gomez,22000000.0
115,Joël Matip,12000000.0
116,Sepp van den Berg,5000000.0
